ZipCode,AE_Email,BranchID,TerritoryName

# ──────────────────────────────────────────────────────
# Southwest Houston - 82 zips
# Replace: southwest-ae@company.com
# ──────────────────────────────────────────────────────

77001,southwest-ae@company.com,BRN-001,Southwest Houston
77005,southwest-ae@company.com,BRN-001,Southwest Houston
77006,southwest-ae@company.com,BRN-001,Southwest Houston
77007,southwest-ae@company.com,BRN-001,Southwest Houston
77019,southwest-ae@company.com,BRN-001,Southwest Houston
77024,southwest-ae@company.com,BRN-001,Southwest Houston
77025,southwest-ae@company.com,BRN-001,Southwest Houston
77027,southwest-ae@company.com,BRN-001,Southwest Houston
77030,southwest-ae@company.com,BRN-001,Southwest Houston
77031,southwest-ae@company.com,BRN-001,Southwest Houston
77035,southwest-ae@company.com,BRN-001,Southwest Houston
77036,southwest-ae@company.com,BRN-001,Southwest Houston
77042,southwest-ae@company.com,BRN-001,Southwest Houston
77045,southwest-ae@company.com,BRN-001,Southwest Houston
77046,southwest-ae@company.com,BRN-001,Southwest Houston
77053,southwest-ae@company.com,BRN-001,Southwest Houston
77054,southwest-ae@company.com,BRN-001,Southwest Houston
77056,southwest-ae@company.com,BRN-001,Southwest Houston
77057,southwest-ae@company.com,BRN-001,Southwest Houston
77063,southwest-ae@company.com,BRN-001,Southwest Houston
77071,southwest-ae@company.com,BRN-001,Southwest Houston
77072,southwest-ae@company.com,BRN-001,Southwest Houston
77074,southwest-ae@company.com,BRN-001,Southwest Houston
77077,southwest-ae@company.com,BRN-001,Southwest Houston
77079,southwest-ae@company.com,BRN-001,Southwest Houston
77081,southwest-ae@company.com,BRN-001,Southwest Houston
77082,southwest-ae@company.com,BRN-001,Southwest Houston
77083,southwest-ae@company.com,BRN-001,Southwest Houston
77085,southwest-ae@company.com,BRN-001,Southwest Houston
77094,southwest-ae@company.com,BRN-001,Southwest Houston
77096,southwest-ae@company.com,BRN-001,Southwest Houston
77098,southwest-ae@company.com,BRN-001,Southwest Houston
77099,southwest-ae@company.com,BRN-001,Southwest Houston
77208,southwest-ae@company.com,BRN-001,Southwest Houston
77210,southwest-ae@company.com,BRN-001,Southwest Houston
77215,southwest-ae@company.com,BRN-001,Southwest Houston
77218,southwest-ae@company.com,BRN-001,Southwest Houston
77219,southwest-ae@company.com,BRN-001,Southwest Houston
77227,southwest-ae@company.com,BRN-001,Southwest Houston
77230,southwest-ae@company.com,BRN-001,Southwest Houston
77231,southwest-ae@company.com,BRN-001,Southwest Houston
77401,southwest-ae@company.com,BRN-001,Southwest Houston
77404,southwest-ae@company.com,BRN-001,Southwest Houston
77406,southwest-ae@company.com,BRN-001,Southwest Houston
77407,southwest-ae@company.com,BRN-001,Southwest Houston
77415,southwest-ae@company.com,BRN-001,Southwest Houston
77420,southwest-ae@company.com,BRN-001,Southwest Houston
77422,southwest-ae@company.com,BRN-001,Southwest Houston
77430,southwest-ae@company.com,BRN-001,Southwest Houston
77431,southwest-ae@company.com,BRN-001,Southwest Houston
77432,southwest-ae@company.com,BRN-001,Southwest Houston
77435,southwest-ae@company.com,BRN-001,Southwest Houston
77437,southwest-ae@company.com,BRN-001,Southwest Houston
77440,southwest-ae@company.com,BRN-001,Southwest Houston
